Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
45, 131072, 1, 2, 512, 0.732799, 1.05457, N/A, 0.0999545, 0.188489, 165.078, 0.562112, 2, 2, 1, 2, 2, 1, 78.3474, 2, 2, 4, 1, 8, 1, 77.9834, 
45, 131072, 1, 2, 512, 0.732799, 1.05457, N/A, 0.0941479, 0.182491, 153.866, 0.445149, 2, 2, 1, 2, 2, 1, 78.3474, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 2, 512, 0.535344, 0.91519, N/A, 0.0726611, 0.115771, 77.6105, 0.255448, 2, 2, 1, 2, 2, 1, 68.265, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 2, 512, 0.50592, 0.795423, N/A, 0.0606787, 0.0989986, 69.7073, 0.222274, 2, 2, 1, 2, 2, 1, 69.7363, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 2, 512, 0.50592, 0.795423, N/A, 0.0606787, 0.0989986, 69.7073, 0.222274, 2, 2, 1, 2, 2, 1, 69.7363, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 65536, 1, 2, 512, 1.11477, 1.59324, N/A, 0.22801, 0.379372, 29.9284, 1.02241, 2, 2, 1, 2, 2, 1, 68.2235, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 65536, 1, 1, 512, 1.29467, 1.23835, N/A, 0.144643, 0.516173, 32.5756, 0.922355, 2, 2, 1, 2, 1, 1, 75.6244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 512, 0.615627, 0.605889, N/A, 0.0475378, 0.158574, 84.1725, 0.2305, 2, 2, 1, 2, 1, 1, 75.6534, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 512, 0.789345, 0.768285, N/A, 0.0664115, 0.206686, 110.788, 0.615935, 2, 2, 1, 2, 1, 1, 72.4246, 2, 2, 4, 1, 8, 1, 74.7104, 
45, 65536, 1, 1, 512, 0.789345, 0.768285, N/A, 0.0629698, 0.20296, 103.375, 0.484851, 2, 2, 1, 2, 1, 1, 72.4246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 512, 0.30605, 0.440457, N/A, 0.0372974, 0.0455543, 7.33482, 0.118715, 2, 2, 1, 2, 1, 1, 18.4872, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 16, 0.300907, 0.240083, N/A, 0.00311658, 0.00270585, 7.55496, 0.0294181, 2, 2, 0.25, 16, 1, 1, 74.6037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 16, 0.300907, 0.240083, N/A, 0.00311658, 0.00270585, 7.55496, 0.0294181, 2, 2, 0.25, 16, 1, 1, 74.6037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 16, 0.300907, 0.240083, N/A, 0.00311658, 0.00270585, 7.55496, 0.0294181, 2, 2, 2, 16, 1, 1, 74.6037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 32, 0.300907, 0.240083, N/A, 0.00342953, 0.00431011, 7.53642, 0.0300607, 2, 2, 2, 8, 1, 1, 73.0089, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 32, 0.300907, 0.240083, N/A, 0.00342953, 0.00431011, 7.53642, 0.0300607, 2, 2, 4, 8, 1, 1, 73.0089, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 32, 0.165182, 0.141613, N/A, 0.000683701, 0.000925317, 0.259873, 0.00149898, 2, 2, 1, 2, 1, 1, 45.754, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 512, 1, 1, 32, 0.212122, 0.161838, N/A, 0.000947547, 0.0020125, 0.956482, 0.00441968, 2, 2, 0.25, 2, 1, 1, 62.0718, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 16384, 6.08437, 3.38479, N/A, 56.8649, 57.4791, 276.14, 174.292, 16, 2, 1, 1, 1, 1, 0.201473, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 2.97288, 4.58029, N/A, 0.143186, 0.137499, 98.0507, 0.614661, 8, 2, 0.25, 1, 8, 4, 57.1293, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
