Access time (ns),Add ECC -,Array Power Gating -,Bitline floating -,CL Power Gating -,Cache area (mm^2),Cache height (mm),Cache level (L2/L3) -,"Cache model (NUCA, UCA)  -",Cache width (mm),Core count,DIMM model,Data array cell type -,Data array peripheral type -,Force cache config -,Interconnect Power Gating -,Interconnect projection -,NUCA bank count,"NUCAdesign objective (weight delay, dynamic power, leakage power, cycle time, area)","NUCAdeviate (delay, dynamic power, leakage power, cycle time, area)",Ndbl,Ndcm,Ndsam1,Ndsam2,Ndwl,Nspd,"Optimize ED or ED^2 (ED, ED^2, NONE):",Power Gating Performance Loss,Print input parameters -,"Print level (DETAILED, CONCISE) -",Tag array cell type -,Tag array peripheral type -,Total dynamic read energy per access (nJ),Total dynamic write energy per access (nJ),Total gate leakage power of a bank (mW),Total leakage power of a bank (mW),UCA bank count,WL Power Gating -,Wire inside mat -,Wire outside mat -,"Wire signaling (fullswing, lowswing, default) -","access mode (normal, sequential, fast) -",access_time_ns,activity_ca 0.5,activity_dq 1.0,addr_timing 1.0,area_mm^2,associativity,block size (bytes),burst length,bus_freq 800 MHz,cache type,capacity,"design objective (weight delay, dynamic power, leakage power, cycle time, area)","deviate (delay, dynamic power, leakage power, cycle time, area)",dram_type,duty_cycle 1.0,exclusive read port,exclusive write port,first metric,gate_leak_power_mW,height_mm,internal prefetch width,io state,leak_power_mW,mem_data_width 8,mem_density 4 Gb,mirror_in_bob,num_bobs,num_ca 25,num_channels_per_bob,num_clk  2,num_dq 72,num_dqs 18,num_mem_dq 2,operating temperature (K),output/input bus width,page size (bits),read-write port,read_energy_nJ,ron_value,rtt_value,second metric,single ended read ports,size (bytes),tag size (b),technology (u),tflight_value,third metric,width_mm,write_energy_nJ
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.276741,,,,0.00882362,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0672865,0.24980300000000005,8,"""WRITE""",1.7893400000000002,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.00113324,34,10000,"""Bandwidth""",0,1024.0,"""default""",0.045,,"""Energy""",0.0353222,0.00329596
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.442529,,,,0.108577,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.785161,0.479555,8,"""WRITE""",27.127,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.0099817,34,10000,"""Bandwidth""",0,16384.0,"""default""",0.045,,"""Energy""",0.226412,0.0084209
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.331441,,,,0.0485739,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.246542,0.319715,8,"""WRITE""",8.23828,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00398324,34,10000,"""Bandwidth""",0,4096.0,"""default""",0.045,,"""Energy""",0.151929,0.00505131
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.165182,,,,0.00149898,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.0102849,0.051155400000000004,8,"""WRITE""",0.249588,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.0006837010000000001,34,10000,"""Bandwidth""",0,128.0,"""default""",0.045,,"""Energy""",0.0293024,0.0009253169999999999
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.294885,,,,0.015132,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.10846300000000003,0.250523,8,"""WRITE""",3.2299700000000002,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.00190318,34,10000,"""Bandwidth""",0,2048.0,"""default""",0.045,,"""Energy""",0.060401699999999996,0.00363853
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.226852,,,,0.00760331,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.048890499999999996,0.174239,8,"""WRITE""",1.03183,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00106097,34,10000,"""Bandwidth""",0,512.0,"""default""",0.045,,"""Energy""",0.043637300000000004,0.00233869
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.30090700000000004,,,,0.030060700000000006,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.234555,0.251603,8,"""WRITE""",7.30186,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.00342953,34,10000,"""Bandwidth""",0,4096.0,"""default""",0.045,,"""Energy""",0.119476,0.00431011
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.330297,,,,0.057506100000000004,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.4092,0.25340300000000004,8,"""WRITE""",13.6943,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.00639163,34,10000,"""Bandwidth""",0,8192.0,"""default""",0.045,,"""Energy""",0.226935,0.00556268
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.325537,,,,0.025816900000000004,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.111386,0.317735,8,"""WRITE""",3.624,,,"""F""",1,,1,,,,,360,32.0,8192,1,0.00218408,34,10000,"""Bandwidth""",0,2048.0,"""default""",0.045,,"""Energy""",0.0812529,0.00427357
,"""true""","""false""","""false""","""false""",,,"""L3""","""UCA""",,8,"""ALL""","""itrs-hp""","""itrs-hp""","""false""","""false""","""conservative""",0,0:100:1000:0:100,10:10000:10000:10000:10000,1,1,0,0,1,0,"""ED""",0.01,"""true""","""CONCISE""","""itrs-hp""","""itrs-hp""",,,,,1,"""false""","""semi-global""","""semi-global""","""Global_30""","""normal""",0.21212199999999998,,,,0.00441968,1,4.0,8,,"""ram""",80,0:100:1000:0:100,20:100000:100000:100000:100000,"""DDR3""",,1,1,"""Cost""",0.044913999999999996,0.136547,8,"""WRITE""",0.911568,,,"""F""",1,,1,,,,,360,32.0,8192,0,0.000947547,34,10000,"""Bandwidth""",0,512.0,"""default""",0.045,,"""Energy""",0.0323673,0.0020125
